iter	Passed	Remaining
221	969	3399
222	972	3389
223	975	3380
224	979	3373
225	982	3366
226	985	3357
227	989	3350
228	991	3338
229	994	3328
230	998	3323
231	1001	3315
232	1004	3307
233	1007	3298
234	1011	3291
235	1014	3282
236	1017	3276
237	1020	3267
238	1024	3260
239	1027	3253
240	1030	3245
241	1033	3236
242	1036	3228
243	1039	3219
244	1042	3211
245	1045	3204
246	1048	3196
247	1051	3187
248	1055	3183
249	1058	3174
250	1061	3166
251	1063	3158
252	1066	3149
253	1070	3143
254	1073	3135
255	1076	3127
256	1079	3120
257	1082	3112
258	1085	3104
259	1088	3096
260	1092	3092
261	1095	3085
262	1098	3079
263	1102	3072
264	1104	3064
265	1107	3055
266	1110	3047
267	1113	3040
268	1116	3034
269	1119	3026
270	1122	3018
271	1125	3011
272	1127	3003
273	1130	2995
274	1133	2988
275	1136	2980
276	1139	2974
277	1142	2967
278	1145	2959
279	1148	2952
280	1151	2946
281	1154	2940
282	1158	2934
283	1161	2928
284	1164	2920
285	1166	2912
286	1169	2905
287	1172	2898
288	1175	2891
289	1178	2886
290	1181	2879
291	1184	2873
292	1187	2866
293	1191	2860
294	1193	2853
295	1196	2846
296	1199	2839
297	1202	2833
298	1205	2826
299	1208	2819
300	1211	2814
301	1215	2808
302	1218	2801
303	1220	2795
304	1223	2788
305	1226	2782
306	1229	2775
307	1232	2768
308	1235	2762
309	1238	2756
310	1241	2749
311	1244	2743
312	1246	2736
313	1250	2732
314	1253	2726
315	1256	2720
316	1259	2714
317	1262	2707
318	1264	2698
319	1267	2692
320	1270	2687
321	1273	2681
322	1276	2675
323	1279	2669
324	1282	2662
325	1284	2656
326	1287	2650
327	1290	2644
328	1294	2640
329	1297	2634
330	1300	2628
331	1303	2622
332	1306	2616
333	1308	2610
334	1311	2603
335	1314	2597
336	1317	2591
337	1320	2587
338	1323	2580
339	1326	2574
340	1329	2568
341	1331	2562
342	1336	2559
343	1338	2553
344	1342	2548
345	1345	2542
346	1348	2537
347	1351	2531
348	1354	2526
349	1356	2520
350	1359	2514
351	1362	2508
352	1365	2502
353	1368	2497
354	1371	2492
355	1375	2487
356	1377	2481
357	1381	2476
358	1383	2471
359	1387	2466
360	1390	2461
361	1393	2456
362	1396	2450
363	1399	2445
364	1402	2439
365	1405	2434
366	1408	2428
367	1411	2423
368	1413	2417
369	1416	2412
370	1419	2406
371	1422	2401
372	1425	2395
373	1428	2390
374	1430	2384
375	1434	2379
376	1437	2374
377	1439	2369
378	1442	2364
379	1445	2358
380	1448	2353
381	1451	2347
382	1454	2342
383	1456	2336
384	1460	2332
385	1462	2326
386	1465	2321
387	1468	2316
388	1471	2310
389	1474	2305
390	1476	2300
391	1479	2294
392	1482	2290
393	1485	2284
394	1488	2279
395	1491	2274
396	1495	2270
397	1497	2265
398	1500	2260
399	1503	2255
400	1506	2250
401	1509	2245
402	1512	2240
403	1515	2235
404	1518	2230
405	1521	2225
406	1524	2220
407	1526	2215
408	1529	2210
409	1532	2205
410	1536	2201
411	1538	2196
412	1542	2191
413	1544	2186
414	1547	2181
415	1550	2176
416	1553	2171
417	1555	2166
418	1558	2161
419	1561	2156
420	1564	2151
421	1567	2146
422	1570	2142
423	1573	2137
424	1576	2132
425	1579	2127
426	1582	2123
427	1587	2121
428	1590	2116
429	1593	2112
430	1596	2107
431	1599	2103
432	1602	2098
433	1605	2093
434	1608	2089
435	1611	2084
436	1614	2080
437	1617	2075
438	1619	2070
439	1623	2065
440	1625	2060
441	1628	2056
442	1631	2051
443	1634	2046
444	1638	2042
445	1641	2038
446	1643	2033
447	1646	2028
448	1649	2023
449	1651	2018
450	1654	2014
451	1657	2009
452	1660	2004
453	1663	2000
454	1666	1995
455	1668	1990
456	1671	1986
457	1674	1981
458	1676	1976
459	1680	1972
460	1683	1967
461	1686	1963
462	1689	1959
463	1692	1954
464	1695	1950
465	1697	1945
466	1700	1941
467	1704	1937
468	1707	1932
469	1709	1928
470	1712	1923
471	1715	1918
472	1718	1914
473	1721	1909
474	1723	1905
475	1727	1901
476	1730	1897
477	1732	1892
478	1735	1887
479	1738	1883
480	1741	1879
481	1744	1874
482	1747	1870
483	1750	1865
484	1753	1861
485	1757	1858
486	1759	1853
487	1762	1849
488	1765	1844
489	1768	1841
490	1771	1836
491	1774	1832
492	1777	1827
493	1780	1823
494	1782	1819
495	1785	1814
496	1788	1810
497	1791	1806
498	1794	1802
499	1797	1797
500	1800	1792
501	1802	1788
502	1805	1784
503	1808	1779
504	1811	1775
505	1814	1771
506	1816	1766
507	1820	1762
508	1822	1758
509	1825	1753
510	1828	1749
511	1832	1746
512	1835	1742
513	1838	1738
514	1841	1734
515	1844	1730
516	1847	1725
517	1850	1721
518	1852	1717
519	1856	1713
520	1859	1709
521	1862	1705
522	1865	1701
523	1868	1697
524	1871	1693
525	1874	1688
526	1877	1684
527	1880	1680
528	1882	1676
529	1886	1672
530	1888	1668
531	1891	1664
532	1894	1660
533	1897	1656
534	1900	1651
535	1903	1647
536	1905	1643
537	1908	1638
538	1911	1634
539	1914	1631
540	1917	1626
541	1920	1622
542	1922	1618
543	1925	1614
544	1928	1610
545	1931	1606
546	1934	1602
547	1937	1598
548	1940	1594
549	1943	1590
550	1945	1585
551	1948	1581
552	1951	1577
553	1954	1573
554	1957	1569
555	1960	1565
556	1963	1561
557	1966	1557
558	1968	1553
559	1971	1549
560	1974	1544
561	1976	1540
562	1979	1536
563	1982	1532
564	1985	1528
565	1988	1524
566	1991	1520
567	1994	1516
568	1997	1512
569	1999	1508
570	2003	1505
571	2006	1501
572	2008	1497
573	2011	1493
574	2014	1489
575	2017	1485
576	2020	1480
577	2023	1477
578	2026	1473
579	2029	1469
580	2032	1465
581	2035	1462
582	2038	1458
583	2041	1454
584	2044	1450
585	2047	1446
586	2050	1442
587	2052	1438
588	2055	1434
589	2058	1430
590	2062	1427
591	2064	1423
592	2067	1419
593	2070	1415
594	2073	1411
595	2076	1407
596	2079	1403
597	2081	1399
598	2084	1395
599	2087	1391
600	2090	1388
601	2093	1384
602	2096	1380
603	2099	1376
604	2102	1372
605	2105	1368
606	2108	1365
607	2111	1361
608	2114	1357
609	2117	1353
610	2119	1349
611	2122	1345
612	2125	1341
613	2128	1337
614	2131	1334
615	2133	1330
616	2136	1326
617	2139	1322
618	2142	1318
619	2144	1314
620	2147	1310
621	2151	1307
622	2153	1303
623	2156	1299
624	2159	1295
625	2162	1292
626	2165	1288
627	2170	1285
628	2172	1281
629	2175	1277
630	2178	1273
631	2181	1270
632	2184	1266
633	2187	1262
634	2190	1258
635	2193	1255
636	2195	1251
637	2198	1247
638	2201	1243
639	2204	1240
640	2207	1236
641	2210	1232
642	2212	1228
643	2216	1225
644	2218	1221
645	2221	1217
646	2224	1213
647	2227	1210
648	2230	1206
649	2234	1203
650	2237	1199
651	2239	1195
652	2243	1191
653	2245	1188
654	2248	1184
655	2251	1180
656	2254	1177
657	2257	1173
658	2260	1169
659	2263	1166
660	2266	1162
661	2269	1158
662	2272	1155
663	2275	1151
664	2278	1147
665	2281	1144
666	2284	1140
667	2287	1137
668	2290	1133
669	2293	1129
670	2296	1126
671	2299	1122
672	2302	1118
673	2305	1114
674	2309	1112
675	2312	1108
676	2315	1104
677	2318	1101
678	2321	1097
679	2324	1093
680	2327	1090
681	2330	1086
682	2333	1082
683	2336	1079
684	2338	1075
685	2341	1071
686	2344	1068
687	2347	1064
688	2350	1060
689	2353	1057
690	2355	1053
691	2358	1049
692	2361	1046
693	2364	1042
694	2367	1038
695	2370	1035
696	2372	1031
697	2375	1027
698	2378	1024
699	2381	1020
700	2384	1016
701	2387	1013
702	2389	1009
703	2392	1006
704	2396	1002
705	2399	999
706	2402	995
707	2405	992
708	2408	988
709	2411	984
710	2413	981
711	2416	977
712	2419	974
713	2422	970
714	2425	966
715	2428	963
716	2431	959
717	2434	956
718	2437	952
719	2440	948
720	2443	945
721	2446	942
722	2449	938
723	2452	934
724	2455	931
725	2458	927
726	2461	924
727	2464	920
728	2467	917
729	2470	913
730	2472	910
731	2475	906
732	2478	902
733	2481	899
734	2484	895
735	2487	892
736	2490	888
737	2493	885
738	2496	881
739	2499	878
740	2501	874
741	2504	870
742	2508	867
743	2511	864
744	2513	860
745	2516	856
746	2520	853
747	2523	850
748	2527	846
749	2530	843
750	2532	839
751	2535	836
752	2538	832
753	2541	829
754	2545	825
755	2548	822
756	2551	819
757	2554	815
758	2557	812
759	2560	808
760	2564	805
761	2567	801
762	2570	798
763	2573	794
764	2576	791
765	2579	787
766	2581	784
767	2584	780
768	2587	777
769	2590	773
770	2593	770
771	2596	766
772	2599	763
773	2603	760
774	2605	756
775	2609	753
776	2612	749
777	2615	746
778	2618	742
779	2621	739
780	2623	735
781	2626	732
782	2629	728
783	2632	725
784	2635	721
785	2638	718
786	2642	715
787	2645	711
788	2648	708
789	2651	704
790	2654	701
791	2657	697
792	2660	694
793	2663	690
794	2665	687
795	2668	683
796	2672	680
797	2675	677
798	2678	673
799	2681	670
800	2683	666
801	2688	663
802	2690	660
803	2694	656
804	2697	653
805	2700	649
806	2703	646
807	2705	643
808	2709	639
809	2712	636
810	2715	632
811	2718	629
812	2721	625
813	2724	622
814	2727	619
815	2730	615
816	2734	612
817	2737	608
818	2740	605
819	2743	602
820	2745	598
821	2748	595
822	2751	591
823	2754	588
824	2757	584
825	2760	581
826	2763	578
827	2766	574
828	2768	571
829	2771	567
830	2774	564
831	2777	560
832	2780	557
833	2783	554
834	2786	550
835	2790	547
836	2793	543
837	2796	540
838	2799	537
839	2802	533
840	2806	530
841	2808	527
842	2811	523
843	2815	520
844	2818	516
845	2821	513
846	2824	510
847	2827	506
848	2830	503
849	2832	499
850	2835	496
851	2838	493
852	2841	489
853	2844	486
854	2848	483
855	2851	479
856	2853	476
857	2856	472
858	2859	469
859	2862	465
860	2865	462
861	2868	459
862	2871	455
863	2874	452
864	2877	449
865	2880	445
866	2882	442
867	2885	438
868	2889	435
869	2891	432
870	2894	428
871	2897	425
872	2899	421
873	2902	418
874	2905	415
875	2909	411
876	2911	408
877	2914	405
878	2918	401
879	2921	398
880	2924	395
881	2927	391
882	2930	388
883	2933	384
884	2936	381
885	2939	378
886	2942	374
887	2945	371
888	2948	368
889	2951	364
890	2954	361
891	2957	358
892	2959	354
893	2963	351
894	2966	348
895	2969	344
896	2972	341
897	2975	337
898	2978	334
899	2981	331
900	2984	327
901	2987	324
902	2990	321
903	2992	317
904	2995	314
905	2998	311
906	3001	307
907	3004	304
908	3007	301
909	3010	297
910	3013	294
911	3016	291
912	3019	287
913	3022	284
914	3025	281
915	3029	277
916	3032	274
917	3034	271
918	3037	267
919	3040	264
920	3044	261
921	3047	257
922	3050	254
923	3053	251
924	3056	247
925	3059	244
926	3061	241
927	3065	237
928	3068	234
929	3070	231
930	3073	227
931	3076	224
932	3079	221
933	3082	217
934	3085	214
935	3088	211
936	3091	207
937	3093	204
938	3096	201
939	3099	197
940	3102	194
941	3104	191
942	3108	187
943	3110	184
944	3113	181
945	3116	177
946	3119	174
947	3122	171
948	3125	167
949	3128	164
950	3131	161
951	3134	158
952	3137	154
953	3139	151
954	3142	148
955	3145	144
956	3148	141
957	3151	138
958	3154	134
959	3157	131
960	3160	128
961	3163	124
962	3165	121
963	3168	118
964	3172	115
965	3174	111
966	3177	108
967	3180	105
968	3183	101
969	3185	98
970	3189	95
971	3192	91
972	3195	88
973	3198	85
974	3201	82
975	3204	78
976	3207	75
977	3211	72
978	3213	68
979	3216	65
980	3219	62
981	3222	59
982	3225	55
983	3228	52
984	3231	49
985	3234	45
986	3237	42
987	3240	39
988	3243	36
989	3246	32
990	3250	29
991	3252	26
992	3255	22
993	3258	19
994	3261	16
995	3263	13
996	3266	9
997	3269	6
998	3271	3
999	3275	0

976	7657	180
977	7664	172
978	7673	164
979	7680	156
980	7690	148
981	7698	141
982	7707	133
983	7714	125
984	7722	117
985	7732	109
986	7740	101
987	7749	94
988	7757	86
989	7765	78
990	7775	70
991	7784	62
992	7794	54
993	7802	47
994	7811	39
995	7820	31
996	7828	23
997	7836	15
998	7844	7
999	7853	0
